Label,0
Kinh Doanh,"{'Cận ngày 8/3, giá một số loại hoa nguyên liệu tại TP HCM, Hà Nội tăng gấp đôi so với bình thường nhưng lượng khách lẻ vẫn tấp nập.', 'Theo những người kinh doanh hoa tại TP HCM và Hà Nội, cách đây một tuần, giá đầu vào của các loại hoa đã tăng vọt, nhất là hoa hồng. Tuy nhiên, đến 4/3, giá hoa bắt đầu chững lại và đa phần neo ở mức gấp đôi so với ngày thường.Tại chợ hoa Hồ Thị Kỷ (quận 10, TP HCM), giá hoa tăng nhẹ so với dịp 8/3 năm ngoái. Trong đó, hồng Đà Lạt vào khoảng 200.000 đồng bó 50 bông, hướng dương 7.000-10.000 đồng mỗi bông, cúc tầm 20.000 đồng một bó.', 'Giá hoa 8/3 tăng vọt vẫn hút khách'}"
Kinh Doanh,"{'Bạn có thể tự tra cứu miễn phí trực tuyến trên CIC hoặc liên hệ ngân hàng để chủ động biết đang có nợ xấu hay không.', ""Cách kiểm tra mình có 'bỗng dưng mắc nợ' hay không"", 'Thời gian gần đây, nhiều người phản ánh bỗng dưng thành con nợ, dính nợ xấu do bị kẻ gian giả mạo CMND, lợi dụng hệ thống eKYC và quy trình duyệt vay online đơn giản. Khi có nhu cầu vay vốn để đầu tư hoặc gia đình có việc cần tiền xoay xở gấp nhưng bị ngân hàng, công ty tài chính... từ chối vì lý do nợ xấu thì họ mới tá hoả.Vì vậy, việc tự tra cứu và kiểm tra thông tin tín dụng cá nhân giúp bạn biết được mình có đang nợ xấu hay không.'}"
Kinh Doanh,"{'Việt Nam lần đầu vào nhóm có chỉ số tự do kinh tế trung bình', 'Theo bảng xếp hạng về Chỉ số tự do kinh tế năm 2021 (Index of Economic Freedom 2021) mới công bố của Heritage Foundation (Mỹ), tổng điểm của Việt Nam năm nay tăng 2,9 điểm, chủ yếu do sức khỏe tài chính được cải thiện.Đây cũng là năm đầu tiên kinh tế Việt Nam bước vào nhóm các nền kinh tế có ""tự do trung bình"" (Moderately Free), tăng 15 bậc so với năm ngoái, từ nhóm được xem là hầu như không tự do kinh tế.', 'Với 61,7 điểm, Việt Nam là nền kinh tế tự do thứ 90 trong bảng xếp hạng điểm số tự do kinh tế của Heritage Foundation.'}"
Kinh Doanh,"{'Doanh nghiệp tư nhân mong được Chính phủ tin tưởng', '""Chúng tôi mong rằng Chính phủ tin tưởng ở kinh tế tư nhân, ở doanh nghiệp, hãy tập trung phát triển vào khu vực kinh tế tư nhân"", bà Nguyễn Thị Phương Thảo - Chủ tịch Tập đoàn Sovico, Tổng giám đốc Vietjet Air, nói trước Hội nghị Đối thoại Việt Nam 2045 tổ chức tại TP HCM, chiều 6/3.Sự kiện diễn ra tại Hội trường Thống Nhất, nơi cách đây 5 năm, Thủ tướng Nguyễn Xuân Phúc có cuộc đối thoại đầu tiên với cộng đồng doanh nghiệp. Lần này, hội nghị được tổ chức nhằm ghi nhận ý kiến từ lãnh đạo các doanh nghiệp đứng đầu vì mục tiêu ""Việt Nam hùng cường"" vào năm 2045.', 'Vì mục tiêu ""Việt Nam hùng cường"" vào năm 2045, nhiều lãnh đạo tập đoàn lớn mong Chính phủ có niềm tin vào doanh nghiệp tư nhân.'}"
Kinh Doanh,"{'Xuất khẩu Trung Quốc tăng mạnh trong hai tháng đầu năm, phản ánh sự hồi phục mạnh mẽ của nhu cầu sản xuất toàn cầu.', 'Xuất khẩu Trung Quốc tăng vọt', 'Theo dữ liệu từ Tổng cục Hải Quan Trung Quốc công bố ngày 7/3, xuất khẩu nước này trong hai tháng đầu năm tăng 60,6% so với năm ngoái. Đây là mức tăng trưởng khả quan hơn nhiều so với con số ước tính 40% của Bloomberg trong một cuộc khảo sát với các chuyên gia kinh tế. Chỉ riêng trong tháng Hai, xuất khẩu tăng hơn gấp đôi so với cùng kỳ năm 2020.Trong khi đó, nhập khẩu tăng hơn 22%, cao hơn mức dự đoán 16% của Bloomberg. Hai tháng đầu năm nay, thặng dư thương mại của Trung Quốc đạt 103,25 tỷ USD.'}"
Kinh Doanh,"{'Tỷ lệ sếp nữ trong ngành thương mại điện tử Việt Nam cao nhất ASEAN', 'Nhân ngày Quốc tế Phụ nữ 8/3 sắp đến, iPrice Group đã nghiên cứu cơ cấu về giới trong đội ngũ nhân sự lãnh đạo của top ba doanh nghiệp thương mại điện tử hàng đầu tại sáu quốc gia khu vực Đông Nam Á. Kết quả, Việt Nam dẫn đầu khu vực với 46% các vị trí lãnh đạo là nữ. Trong khi đó, con số này rơi vào 37% trong báo cáo năm 2018.Thái Lan và Philippines là hai quốc gia theo sau, với tỷ lệ lần lượt 44% và 39%. Malaysia (37%), Indonesia (36%) và Singapore (35%) là những quốc gia có ít phụ nữ nắm quyền nhất trong các doanh nghiệp thương mại điện tử hàng đầu ở Đông Nam Á.', 'Việt Nam có tỷ lệ phụ nữ ở bậc quản lý doanh nghiệp thương mại điện tử là 46%, dẫn đầu Đông Nam Á.'}"
Kinh Doanh,"{'Hãng hàng không giá rẻ của Malaysia AirAsia Group dự định đưa dịch vụ ""taxi bay"" ra mắt thị trường vào năm 2022.', 'Ông Tony Fernandes, Nhà sáng lập kiêm CEO AirAsia, tiết lộ thông tin đang triển khai dự án ""taxi bay"" hôm 6/3, tại buổi thảo luận trực tuyến trong khuôn khổ Diễn đàn Kinh tế Thanh niên. ""Tôi nghĩ rằng chúng tôi còn khoảng một năm rưỡi nữa là ra mắt"", ông nói.Những chiếc ""taxi bay"" của AirAsia dự kiến dùng loại máy bay quadcopter, gồm một phi công và có 4 chỗ ngồi. Ông Tony Fernandes cho hay đã xây dựng đội ngũ cho dịch vụ mới.', ""AirAsia sắp mở dịch vụ 'taxi bay'""}"
Kinh Doanh,"{'Phát biểu tại Đối thoại 2045 do Thủ tướng Nguyễn Xuân Phúc chủ trì chiều 6/3, ông Don Lam – Tổng giám đốc Tập đoàn VinaCapital khẳng định, bức tranh kinh tế triển vọng là động lực để họ cam kết rót 10 tỷ USD vào Việt Nam trong những năm tới. Nhưng để thực hiện mục tiêu Việt Nam hùng cường vào năm 2045, vấn đề lớn là làm thế nào để ""xây tổ đón đại bàng"". Chính phủ và các địa phương cần sớm giải bài toán đảm bảo nguồn nhân lực, tài nguyên, chính sách ưu đãi cho các nhà đầu tư nước ngoài mong muốn rót vốn vào Việt Nam.', 'VinaCapital khẳng định sẽ đầu tư 10 tỷ USD vào Việt Nam nhưng đề xuất Chính phủ ưu tiên đầu tư cơ sở hạ tầng, đơn giản thủ tục hành chính, phổ cập tài chính...', 'Quỹ ngoại hiến kế gì cho kinh tế Việt Nam 25 năm tới?'}"
Kinh Doanh,"{'Chuỗi cầm đồ F88 lãi cả năm 45 tỷ đồng', 'Lợi nhuận năm ngoái của chuỗi cầm đồ F88 tăng trưởng ba chữ số, đạt 45 tỷ đồng nhưng vẫn kém kế hoạch 377 tỷ đề ra trước đó.', 'Trong thông tin gửi Sở Giao dịch chứng khoán Hà Nội, Công ty cổ phần Kinh doanh F88, đơn vị quản lý chuỗi cầm đồ cùng tên, cho biết lợi nhuận sau thuế tăng 169% lên gần 45 tỷ đồng. Phần lớn lợi nhuận được ghi nhận trong nửa cuối năm bởi sáu tháng đầu công ty chỉ lãi 2,7 tỷ đồng.Theo đại diện chuỗi cầm đồ này, tổng doanh thu và dư nợ cho vay đều tăng trên 230% so với năm trước. Nguồn vốn chủ sở hữu tính đến cuối năm trên 434 tỷ đồng. Hệ số nợ trên vốn chủ sở hữu tăng mạnh do công ty liên tiếp huy động vốn thông qua trái phiếu doanh nghiệp. Cả năm 2020 công ty phát hành ba lần trái phiếu tổng giá trị 400 tỷ đồng, lãi suất dao động 12,5% một năm.'}"
Kinh Doanh,"{'Chủ tịch Ủy ban châu Âu Ursula von der Leyen vừa cho biết Mỹ và EU sẽ dừng áp các loại thuế quan trong 4 tháng, vốn dùng để trả đũa vụ tranh chấp kéo dài về các khoản trợ cấp mà cả hai cáo buộc nhau là bất hợp pháp cho Boeing và Airbus.Thỏa thuận là một bước mới, nhằm giải quyết tranh chấp kéo dài 17 năm. Động thái này diễn ra một ngày sau khi Mỹ và Anh cũng đồng ý dừng 4 tháng đối với các mức thuế liên quan đến vụ tranh chấp.', 'Hai nền kinh tế đạt thỏa thuận tạm dừng áp thuế lên hàng hóa của nhau, vốn là biện pháp họ trả đũa nhau việc trợ cấp Boeing, Airbus sản xuất máy bay.', ""Mỹ - Âu 'đình chiến' chống trợ cấp máy bay""}"
